"filename", "language", "PostCSS", "HTML", "XML", "JavaScript", "JSON", "JSON with Comments", "comment", "blank", "total"
"c:\Users\kleme\Syverro\eas.json", "JSON with Comments", 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\kleme\Syverro\export.js", "JavaScript", 0, 0, 0, 79, 0, 0, 7, 19, 105
"c:\Users\kleme\Syverro\mobile-app\App.js", "JavaScript", 0, 0, 0, 106, 0, 0, 5, 13, 124
"c:\Users\kleme\Syverro\mobile-app\app.json", "JSON with Comments", 0, 0, 0, 0, 0, 38, 0, 1, 39
"c:\Users\kleme\Syverro\mobile-app\babel.config.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\kleme\Syverro\mobile-app\index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 3, 3, 9
"c:\Users\kleme\Syverro\mobile-app\metro.config.js", "JavaScript", 0, 0, 0, 17, 0, 0, 1, 5, 23
"c:\Users\kleme\Syverro\mobile-app\package-lock.json", "JSON", 0, 0, 0, 0, 10591, 0, 0, 1, 10592
"c:\Users\kleme\Syverro\mobile-app\package.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\Users\kleme\Syverro\mobile-app\src\components\AuthorSelector.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 9, 93
"c:\Users\kleme\Syverro\mobile-app\src\components\BookCover.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 4, 49
"c:\Users\kleme\Syverro\mobile-app\src\components\Button.js", "JavaScript", 0, 0, 0, 67, 0, 0, 1, 4, 72
"c:\Users\kleme\Syverro\mobile-app\src\components\CompactThemeSwitcher.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 8, 71
"c:\Users\kleme\Syverro\mobile-app\src\components\Container.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\kleme\Syverro\mobile-app\src\components\GenreSelector.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 13, 104
"c:\Users\kleme\Syverro\mobile-app\src\components\GlassCard.js", "JavaScript", 0, 0, 0, 48, 0, 0, 1, 6, 55
"c:\Users\kleme\Syverro\mobile-app\src\components\Header.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 4, 32
"c:\Users\kleme\Syverro\mobile-app\src\components\MenuItem.js", "JavaScript", 0, 0, 0, 25, 0, 0, 1, 2, 28
"c:\Users\kleme\Syverro\mobile-app\src\components\OrbBackground.js", "JavaScript", 0, 0, 0, 51, 0, 0, 1, 4, 56
"c:\Users\kleme\Syverro\mobile-app\src\components\StatCard.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 2, 40
"c:\Users\kleme\Syverro\mobile-app\src\components\Text.js", "JavaScript", 0, 0, 0, 43, 0, 0, 1, 4, 48
"c:\Users\kleme\Syverro\mobile-app\src\components\charts\DonutChart.js", "JavaScript", 0, 0, 0, 43, 0, 0, 1, 3, 47
"c:\Users\kleme\Syverro\mobile-app\src\components\charts\ProgressRing.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 3, 55
"c:\Users\kleme\Syverro\mobile-app\src\components\charts\TopGenresBar.js", "JavaScript", 0, 0, 0, 50, 0, 0, 1, 5, 56
"c:\Users\kleme\Syverro\mobile-app\src\context\LanguageContext.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\kleme\Syverro\mobile-app\src\context\LightingContext.js", "JavaScript", 0, 0, 0, 51, 0, 0, 4, 8, 63
"c:\Users\kleme\Syverro\mobile-app\src\context\ThemeContext.js", "JavaScript", 0, 0, 0, 46, 0, 0, 3, 10, 59
"c:\Users\kleme\Syverro\mobile-app\src\locales\be.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\locales\de.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\locales\en.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\locales\fr.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\locales\index.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\kleme\Syverro\mobile-app\src\locales\it.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\locales\ja.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\locales\ko.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\locales\pl.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\locales\ru.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 74
"c:\Users\kleme\Syverro\mobile-app\src\locales\ua.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 65
"c:\Users\kleme\Syverro\mobile-app\src\navigation\AppNavigator.js", "JavaScript", 0, 0, 0, 73, 0, 0, 4, 6, 83
"c:\Users\kleme\Syverro\mobile-app\src\screens\AboutScreen.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 13, 105
"c:\Users\kleme\Syverro\mobile-app\src\screens\AchievementsScreen.js", "JavaScript", 0, 0, 0, 149, 0, 0, 3, 12, 164
"c:\Users\kleme\Syverro\mobile-app\src\screens\BookDetailsScreen\EditMode.js", "JavaScript", 0, 0, 0, 305, 0, 0, 0, 17, 322
"c:\Users\kleme\Syverro\mobile-app\src\screens\BookDetailsScreen\RatingStars.js", "JavaScript", 0, 0, 0, 36, 0, 0, 1, 2, 39
"c:\Users\kleme\Syverro\mobile-app\src\screens\BookDetailsScreen\StatusPicker.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 5, 72
"c:\Users\kleme\Syverro\mobile-app\src\screens\BookDetailsScreen\ViewMode.js", "JavaScript", 0, 0, 0, 132, 0, 0, 0, 15, 147
"c:\Users\kleme\Syverro\mobile-app\src\screens\BookDetailsScreen\index.js", "JavaScript", 0, 0, 0, 174, 0, 0, 0, 8, 182
"c:\Users\kleme\Syverro\mobile-app\src\screens\ChallengesScreen.js", "JavaScript", 0, 0, 0, 65, 0, 0, 1, 7, 73
"c:\Users\kleme\Syverro\mobile-app\src\screens\CustomDrawerContent.js", "JavaScript", 0, 0, 0, 210, 0, 0, 1, 17, 228
"c:\Users\kleme\Syverro\mobile-app\src\screens\FavoriteBooksScreen.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 5, 49
"c:\Users\kleme\Syverro\mobile-app\src\screens\HomeScreen\ActionButtons.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\kleme\Syverro\mobile-app\src\screens\HomeScreen\AddBookForm.js", "JavaScript", 0, 0, 0, 69, 0, 0, 1, 6, 76
"c:\Users\kleme\Syverro\mobile-app\src\screens\HomeScreen\BookCard.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 4, 51
"c:\Users\kleme\Syverro\mobile-app\src\screens\HomeScreen\EmptyState.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\kleme\Syverro\mobile-app\src\screens\HomeScreen\SearchInput.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\kleme\Syverro\mobile-app\src\screens\HomeScreen\SortModal.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 3, 63
"c:\Users\kleme\Syverro\mobile-app\src\screens\HomeScreen\StatusFilters.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 6, 68
"c:\Users\kleme\Syverro\mobile-app\src\screens\HomeScreen\index.js", "JavaScript", 0, 0, 0, 114, 0, 0, 1, 14, 129
"c:\Users\kleme\Syverro\mobile-app\src\screens\InsightsScreen.js", "JavaScript", 0, 0, 0, 60, 0, 0, 1, 10, 71
"c:\Users\kleme\Syverro\mobile-app\src\screens\LibraryScreen.js", "JavaScript", 0, 0, 0, 159, 0, 0, 1, 18, 178
"c:\Users\kleme\Syverro\mobile-app\src\screens\ProfileScreen\AvatarModal.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 2, 49
"c:\Users\kleme\Syverro\mobile-app\src\screens\ProfileScreen\ProfileHeader.js", "JavaScript", 0, 0, 0, 71, 0, 0, 0, 3, 74
"c:\Users\kleme\Syverro\mobile-app\src\screens\ProfileScreen\ProfileStats.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 3, 58
"c:\Users\kleme\Syverro\mobile-app\src\screens\ProfileScreen\ReaderLevel.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\kleme\Syverro\mobile-app\src\screens\ProfileScreen\index.js", "JavaScript", 0, 0, 0, 168, 0, 0, 0, 20, 188
"c:\Users\kleme\Syverro\mobile-app\src\screens\SessionScreen.js", "JavaScript", 0, 0, 0, 223, 0, 0, 4, 24, 251
"c:\Users\kleme\Syverro\mobile-app\src\screens\SettingsScreen.js", "JavaScript", 0, 0, 0, 129, 0, 0, 0, 11, 140
"c:\Users\kleme\Syverro\mobile-app\src\screens\StatsScreen\MotivationCard.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 3, 33
"c:\Users\kleme\Syverro\mobile-app\src\screens\StatsScreen\ProgressBar.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 1, 37
"c:\Users\kleme\Syverro\mobile-app\src\screens\StatsScreen\StatCards.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\kleme\Syverro\mobile-app\src\screens\StatsScreen\TopGenres.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 3, 53
"c:\Users\kleme\Syverro\mobile-app\src\screens\StatsScreen\index.js", "JavaScript", 0, 0, 0, 58, 0, 0, 1, 10, 69
"c:\Users\kleme\Syverro\mobile-app\src\store\achievements.js", "JavaScript", 0, 0, 0, 78, 0, 0, 4, 11, 93
"c:\Users\kleme\Syverro\mobile-app\src\store\challenges.js", "JavaScript", 0, 0, 0, 109, 0, 0, 11, 13, 133
"c:\Users\kleme\Syverro\mobile-app\src\store\index.js", "JavaScript", 0, 0, 0, 259, 0, 0, 31, 51, 341
"c:\Users\kleme\Syverro\mobile-app\src\store\slices\achievementsSlice.js", "JavaScript", 0, 0, 0, 9, 0, 0, 2, 0, 11
"c:\Users\kleme\Syverro\mobile-app\src\store\slices\booksSlice.js", "JavaScript", 0, 0, 0, 70, 0, 0, 25, 9, 104
"c:\Users\kleme\Syverro\mobile-app\src\store\slices\challengesSlice.js", "JavaScript", 0, 0, 0, 11, 0, 0, 2, 1, 14
"c:\Users\kleme\Syverro\mobile-app\src\store\slices\sessionsSlice.js", "JavaScript", 0, 0, 0, 85, 0, 0, 1, 13, 99
"c:\Users\kleme\Syverro\mobile-app\src\theme\colors.js", "JavaScript", 0, 0, 0, 60, 0, 0, 17, 17, 94
"c:\Users\kleme\Syverro\mobile-app\src\theme\fonts.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\kleme\Syverro\mobile-app\src\theme\glass.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\kleme\Syverro\mobile-app\src\theme\index.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\kleme\Syverro\mobile-app\src\theme\spacing.js", "JavaScript", 0, 0, 0, 22, 0, 0, 1, 3, 26
"c:\Users\kleme\Syverro\mobile-app\src\theme\typography.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 3, 63
"c:\Users\kleme\Syverro\package-lock.json", "JSON", 0, 0, 0, 0, 4326, 0, 0, 1, 4327
"c:\Users\kleme\Syverro\package.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\kleme\Syverro\syverro-landing\index.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 34
"c:\Users\kleme\Syverro\syverro-landing\public\sitemap.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\kleme\Syverro\syverro-landing\script.js", "JavaScript", 0, 0, 0, 36, 0, 0, 1, 7, 44
"c:\Users\kleme\Syverro\syverro-landing\style.css", "PostCSS", 148, 0, 0, 0, 0, 0, 0, 19, 167
"Total", "-", 148, 34, 8, 5480, 14963, 59, 144, 551, 21387